constant,num_states
0,7
0,17
0,11
0,13
0,1
0,12
0,7
0,4
0,19
0,17
0,17
0,5
0,7
0,17
0,12
0,17
0,15
0,13
0,14
0,8
0,1
0,4
0,13
0,16
0,16
0,17
0,14
0,10
0,11
0,11
0,6
0,11
0,11
0,17
0,4
0,15
0,7
0,11
0,10
0,17
0,8
0,16
0,1
0,15
0,1
0,9
0,14
0,16
0,12
0,11
0,16
0,13
0,13
0,20
0,8
0,14
0,12
0,11
0,7
0,10
0,9
0,11
0,10
0,11
0,18
0,10
0,12
0,11
0,8
0,17
0,20
0,20
0,17
0,15
0,10
0,13
0,16
0,11
0,18
0,1
0,9
0,18
0,12
0,14
0,8
0,9
0,12
0,19
0,6
0,11
0,18
0,19
0,8
0,13
0,17
0,21
0,16
0,14
0,7
0,6
50,15
50,29
50,24
50,22
50,21
50,20
50,22
50,20
50,27
50,22
50,22
50,20
50,27
50,19
50,13
50,28
50,19
50,24
50,35
50,18
50,27
50,26
50,24
50,27
50,23
50,22
50,29
50,23
50,25
50,23
50,27
50,27
50,23
50,27
50,23
50,25
50,26
50,25
50,31
50,26
50,15
50,30
50,18
50,26
50,23
50,25
50,33
50,22
50,28
50,25
50,25
50,33
50,18
50,28
50,14
50,33
50,17
50,18
50,24
50,13
50,25
50,28
50,24
50,27
50,20
50,24
50,28
50,11
50,25
50,31
50,29
50,22
50,25
50,24
50,26
50,19
50,30
50,20
50,28
50,23
50,26
50,19
50,26
50,30
50,25
50,32
50,23
50,29
50,20
50,31
50,27
50,20
50,21
50,24
50,21
50,23
50,22
50,21
50,25
50,18
100,33
100,23
100,35
100,32
100,34
100,35
100,32
100,31
100,27
100,14
100,28
100,31
100,30
100,40
100,39
100,19
100,20
100,31
100,39
100,33
100,38
100,25
100,29
100,30
100,28
100,24
100,30
100,28
100,20
100,36
100,30
100,38
100,26
100,34
100,32
100,30
100,31
100,36
100,22
100,32
100,34
100,25
100,34
100,21
100,40
100,35
100,33
100,33
100,35
100,34
100,34
100,35
100,25
100,35
100,36
100,31
100,32
100,25
100,35
100,22
100,32
100,34
100,38
100,33
100,25
100,21
100,35
100,36
100,32
100,26
100,38
100,27
100,30
100,25
100,27
100,28
100,30
100,30
100,30
100,30
100,32
100,41
100,29
100,36
100,31
100,18
100,22
100,35
100,36
100,23
100,31
100,31
100,34
100,26
100,26
100,31
100,17
100,35
100,24
100,37
150,38
150,35
150,38
150,43
150,28
150,33
150,32
150,30
150,31
150,29
150,30
150,30
150,43
150,26
150,44
150,33
150,38
150,23
150,28
150,40
150,33
150,32
150,33
150,26
150,22
150,30
150,44
150,33
150,35
150,38
150,39
150,30
150,41
