depth,time_ms
1,133.47
1,161.78
1,101.83
1,11.72
1,77.25
1,126.88
1,139.57
1,145.77
1,117.66
1,118.72
2,222.4
2,70.29
2,18.5
2,139.44
2,102.58
2,22.47
2,19.43
2,50.68
2,110.32
2,27.23
3,45.12
3,28.23
3,177.97
3,22.49
3,52.94
3,24.03
3,152.27
3,32.81
3,37.43
3,268.65
4,205.6
4,123.6
4,27.59
4,362.28
4,149.91
4,67.26
4,160.08
4,168.63
4,64.2
4,268.71
5,179.58
5,905.94
5,1639.3
5,65.84
5,92.09
5,123.48
5,38.72
5,238.54
5,83.73
5,130.8
6,142.81
6,105.87
6,95.39
6,69.84
6,140.22
6,88.7
6,62.65
6,35.47
6,489.3
6,140.49
7,63.52
7,78.86
7,153.41
7,639.19
7,71.18
7,113.42
7,326.87
7,542.42
7,158.35
7,379.84
8,233.35
8,262.06
8,136.52
8,68.6
8,99.09
8,113.72
8,121.46
8,50.54
8,166.68
8,124.13
