junctions,time_ms
2,5.04
2,4.82
2,4.6
2,4.15
2,3.69
2,3.92
2,4.46
2,4.43
2,5.06
2,5.1
2,3.76
2,3.95
2,4.12
2,4.55
2,4.36
2,3.96
2,4.09
2,5.14
2,4.34
2,4.33
2,3.88
2,4.55
2,5.61
2,4.73
2,3.9
2,4.22
2,3.7
2,4.1
2,3.98
2,4.37
2,6.13
2,5.56
2,6.12
2,5.8
2,6.4
2,4.54
2,6.96
2,8.47
2,5.99
2,6.2
2,8.88
2,8.31
2,4.59
2,7.25
2,5.32
2,5.48
2,4.99
2,8.26
2,7.12
2,5.6
2,6.05
2,8.58
2,6.61
2,6.64
2,7.67
2,5.64
2,4.79
2,5.42
2,7.93
2,11.59
2,12.24
2,8.81
2,15.66
2,12.22
2,9.45
2,6.87
2,8.85
2,9.92
2,8.58
2,10.01
2,9.52
2,8.93
2,4.91
2,11.84
2,5.73
2,14.43
2,9.05
2,10.28
2,9.03
2,5.57
2,6.94
2,8.64
2,9.07
2,13.38
2,7.83
2,6.67
2,8.58
2,8.43
3,6.0
3,6.52
3,6.63
3,6.36
3,7.64
3,9.04
3,7.37
3,5.88
3,7.63
3,6.19
3,5.65
3,5.93
3,6.26
3,6.08
3,7.21
3,6.78
3,6.42
3,6.48
3,5.86
3,5.69
3,7.8
3,6.43
3,7.74
3,8.77
3,6.46
3,5.64
3,6.23
3,8.05
3,7.49
3,10.22
3,9.05
3,15.21
3,8.42
3,9.04
3,7.83
3,10.78
3,8.63
3,11.98
3,18.77
3,10.61
3,10.02
3,10.94
3,15.24
3,14.74
3,11.65
3,12.82
3,13.16
3,13.38
3,10.72
3,13.15
3,11.89
3,8.78
3,15.03
3,10.72
3,10.69
3,10.95
3,9.32
3,8.62
3,7.37
3,16.99
3,40.97
3,11.02
3,21.28
3,11.7
3,32.06
3,41.45
3,18.07
3,160.98
3,66.21
3,18.06
3,68.85
3,567.25
3,104.01
3,58.49
3,13.22
3,24.28
3,15.26
3,62.04
3,12.25
3,22.82
3,51.52
3,14.08
3,16.63
3,39.25
3,19.35
3,12.12
3,22.57
3,14.6
4,11.58
4,12.14
4,9.71
4,8.55
4,11.58
4,11.29
4,9.71
4,9.45
4,11.7
4,8.94
4,8.3
4,9.12
4,7.58
4,10.33
4,9.35
4,9.45
4,8.3
4,9.3
4,10.48
4,8.42
4,10.41
4,9.19
4,8.14
4,9.93
4,10.45
4,9.7
4,8.48
4,9.66
4,7.63
4,7.84
4,23.53
4,15.15
4,16.55
4,12.84
4,12.55
4,24.62
4,11.43
4,15.11
4,32.84
4,16.52
4,11.28
4,12.58
4,13.38
4,47.24
4,39.76
4,29.85
4,27.92
4,14.62
4,18.81
4,28.13
4,20.21
4,17.76
4,34.31
4,14.2
4,15.04
4,15.0
4,25.41
4,27.52
4,15.14
4,48.88
4,35.17
4,305.37
4,56.73
4,1585.3
4,32.34
4,25.44
4,1024.47
4,21.7
4,496.43
4,195.0
4,103.11
4,142.08
4,25.03
4,23.24
4,71.93
4,38.33
4,140.0
4,19.94
4,125.57
4,33.4
4,189.67
4,264.16
4,31.84
4,43.44
4,17.16
4,37.92
4,98.46
4,198.97
4,462.88
4,79.35
5,9.08
5,10.48
5,11.59
5,12.35
5,10.74
5,13.02
5,14.61
5,10.83
5,11.55
5,11.54
5,12.11
5,10.47
5,11.02
5,10.05
5,11.52
5,10.81
5,13.27
5,12.52
5,11.28
5,11.76
5,9.82
5,9.0
5,15.53
5,13.55
5,9.55
5,9.58
5,13.79
5,10.34
5,10.8
5,11.89
5,52.35
5,21.02
5,24.44
5,29.03
5,37.56
5,17.22
5,17.79
5,24.93
5,32.31
5,18.05
5,49.29
5,21.55
5,22.48
5,36.16
5,17.04
5,51.32
5,41.96
5,27.65
5,26.78
5,14.72
5,28.83
5,14.6
5,29.89
5,24.17
5,21.23
5,23.37
5,28.98
5,38.35
5,12.85
5,19.39
5,51.55
5,76.0
5,413.42
5,182.58
5,91.14
5,804.74
5,53.32
5,1189.08
5,909.63
5,144.33
5,80.86
5,1401.14
5,37.75
5,118.05
5,185.18
5,48.32
5,468.01
5,335.06
5,2204.14
5,104.57
5,273.6
5,911.9
5,710.24
5,31.54
5,180.79
5,81.84
5,930.5
5,50.81
5,440.73
5,68.76
6,13.82
6,13.2
6,13.86
6,13.22
6,11.04
6,12.82
6,19.63
6,12.03
6,12.25
6,12.61
6,13.0
6,11.17
6,13.07
6,15.12
6,12.17
6,11.92
6,11.68
6,15.37
6,12.47
6,18.14
6,11.7
6,15.3
6,12.36
6,11.81
6,12.75
6,13.58
6,12.58
6,12.12
6,12.64
6,15.44
6,224.22
6,38.84
6,33.56
6,16.31
6,40.04
6,42.34
6,127.76
6,32.06
6,33.14
6,31.87
6,24.43
6,28.71
6,20.11
6,46.62
6,36.31
6,78.78
6,67.84
6,55.51
6,18.9
6,18.58
6,106.64
6,31.27
6,37.85
6,15.82
6,153.31
6,31.35
6,18.67
6,32.05
6,29.35
6,34.52
6,102.5
6,900.35
6,677.26
6,93.03
6,889.14
6,5500.76
6,1310.39
6,2687.59
6,1434.33
6,7231.98
6,1376.68
6,859.11
6,655.35
6,497.0
6,42.0
6,201.46
6,279.95
6,252.96
6,730.24
6,1402.47
6,51.04
6,867.29
6,1000.19
6,694.05
6,63.67
6,9083.31
6,2142.73
6,40.92
6,118.37
