junctions,num_states
2,54.0
2,6.0
2,18.0
2,20.0
2,10.0
2,10.0
2,38.0
2,9.0
2,51.0
2,14.0
2,12.0
2,1.0
2,11.0
2,69.0
2,29.0
2,1.0
2,20.0
2,10.0
2,34.0
2,1.0
2,5.0
2,5.0
2,51.0
2,33.0
2,1.0
2,1.0
2,1.0
2,1.0
2,8.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,9.0
2,15.0
2,11.0
2,10.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,4.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,79.0
2,25.0
2,14.0
2,7.0
2,20.0
2,1.0
2,88.0
2,13.0
2,61.0
2,1.0
2,118.0
2,14.0
2,16.0
2,1.0
2,12.0
2,1.0
2,57.0
2,49.0
2,94.0
2,30.0
2,77.0
2,60.0
2,102.0
2,1.0
2,8.0
2,1.0
2,1.0
2,10.0
2,1.0
2,1.0
2,1.0
2,1.0
2,41.0
2,1.0
2,44.0
2,1.0
2,1.0
2,3.0
2,17.0
2,1.0
2,1.0
2,19.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,37.0
2,11.0
2,12.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,7.0
2,1.0
2,1.0
2,1.0
2,7.0
2,1.0
3,10.0
3,1.0
3,1.0
3,11.0
3,50.0
3,18.0
3,24.0
3,30.0
3,15.0
3,10.0
3,55.0
3,4.0
3,23.0
3,12.0
3,11.0
3,127.0
3,29.0
3,9.0
3,8.0
3,13.0
3,7.0
3,16.0
3,1.0
3,1.0
3,9.0
3,1.0
3,8.0
3,1.0
3,1.0
3,1.0
3,10.0
3,1.0
3,1.0
3,1.0
3,1.0
3,8.0
3,2.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,7.0
3,1.0
3,1.0
3,9.0
3,1.0
3,1.0
3,5.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,4.0
3,1.0
3,4.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,75.0
3,1.0
3,5.0
3,23.0
3,257.0
3,42.0
3,1.0
3,365.0
3,100.0
3,36.0
3,46.0
3,11.0
3,68.0
3,61.0
3,310.0
3,307.0
3,1.0
3,160.0
3,34.0
3,84.0
3,1.0
3,6.0
3,175.0
3,419.0
3,1.0
3,17.0
3,61.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,114.0
3,1.0
3,1.0
3,1.0
3,15.0
3,1.0
3,5.0
3,1.0
3,1.0
3,1.0
3,43.0
3,1.0
3,40.0
3,1.0
3,5.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
4,12.0
4,18.0
4,58.0
4,48.0
4,16.0
4,1.0
4,26.0
4,67.0
4,116.0
4,5.0
4,13.0
4,3.0
4,4.0
4,1.0
4,57.0
4,161.0
4,1.0
4,1.0
4,27.0
4,1.0
4,126.0
4,89.0
4,39.0
4,43.0
4,8.0
4,1.0
4,1.0
4,1.0
4,10.0
4,1.0
4,1.0
4,1.0
4,1.0
4,12.0
4,1.0
4,1.0
4,19.0
4,1.0
4,9.0
4,17.0
4,1.0
4,1.0
4,9.0
4,1.0
4,1.0
4,1.0
4,4.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,3.0
4,5.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,2.0
4,50.0
4,83.0
4,423.0
4,46.0
4,216.0
4,98.0
4,166.0
4,1.0
4,277.0
4,14.0
4,17.0
4,21.0
4,13.0
4,262.0
4,63.0
4,13.0
4,64.0
4,1324.0
4,37.0
4,95.0
4,108.0
4,280.0
4,1.0
4,59.0
4,6.0
4,35.0
4,30.0
4,10.0
4,16.0
4,1.0
4,1.0
4,1.0
4,94.0
4,1.0
4,6.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
