junctions,time_ms
2,4.6
2,10.05
2,7.05
2,5.48
2,5.81
2,6.66
2,6.07
2,10.67
2,6.38
2,5.82
2,8.07
2,4.68
2,4.64
2,7.08
2,14.02
2,6.64
2,6.55
2,8.87
2,7.13
2,5.72
2,7.66
2,8.91
2,7.2
2,6.43
2,33.14
2,14.65
2,23.41
2,30.38
2,15.42
2,10.41
2,10.99
2,6.7
2,5.51
2,6.31
2,7.12
2,6.11
2,8.9
2,14.05
2,17.4
2,9.8
2,5.93
2,8.98
2,9.02
2,5.69
2,18.2
2,5.73
2,15.93
2,11.22
2,8.76
2,10.55
2,38.52
2,426.29
2,7.27
2,23.4
2,6.82
2,10.46
2,11.59
2,16.98
2,8.83
2,17.42
2,15.74
2,8.39
2,11.02
2,15.33
2,7.48
2,6.73
2,8.41
2,28.27
2,9.91
2,18.46
2,12.76
2,368.29
2,13.09
2,8.39
2,18.35
2,7.57
2,11.51
2,10.1
2,8.39
2,10.98
2,35.15
2,6.3
2,18.38
2,6.01
2,21.69
2,6.03
2,9.93
2,10.91
2,10.64
2,9.17
2,10.9
2,16.61
2,15.63
2,10.81
2,18.32
2,14.09
2,14.6
2,8.33
2,6.15
2,12.29
2,53.73
2,13.96
2,37.7
2,24.99
2,41.86
2,877.27
2,35.98
2,16.33
2,28.5
2,7.77
2,20.74
2,7.85
2,13.7
2,10.7
2,51.16
2,10.76
2,15.85
2,45.84
2,24.41
2,22.21
2,91.21
2,13.87
2,30.38
2,103.58
2,17.71
2,8823.94
2,15176.51
2,28.22
2,334.24
2,58.96
2,17.95
2,12.67
2,17.36
2,17.67
2,62.0
2,12.09
2,25.35
2,19.01
2,6612.15
2,11.16
2,89.45
2,13.97
2,37.1
2,14.38
2,26.5
2,3625.03
3,9.14
3,19.16
3,14.31
3,10.19
3,29.85
3,8.61
3,12.51
3,12.09
3,13.36
3,8.81
3,11.64
3,8.35
3,11.57
3,11.54
3,9.01
3,10.88
3,17.65
3,9.78
3,14.73
3,10.34
3,16.02
3,10.35
3,8.86
3,14.29
3,10.28
3,10.25
3,463.29
3,39.5
3,13.25
3,509.24
3,9.6
3,44.05
3,41.08
3,792.53
3,78.72
3,16.48
3,192.77
3,2733.58
3,331.37
3,625.51
3,4354.54
3,10.48
3,919.24
3,112.59
3,15.31
3,10.31
3,51.86
3,11.69
3,25.26
3,1276.1
3,11.47
3,67.55
3,13.78
3,27.49
3,35.7
3,2093.41
3,136.88
3,112.07
3,36.38
3,21642.91
3,17.85
3,123.83
3,12.34
3,857.15
3,28.41
3,14.12
3,13.13
3,22.55
3,12.39
3,55.29
3,19.78
3,27.8
3,18.26
3,4118.13
3,25.21
3,28.37
3,8.85
3,27.38
3,50.39
3,28.85
3,26.99
3,118.18
3,239.62
3,73.94
3,15.42
3,130.57
3,17.98
3,68.55
3,112.38
3,59.92
3,38.79
3,342.28
3,23.52
3,41.88
3,24.51
3,27.24
3,66.84
3,1047.49
3,12.67
3,332.29
3,128.76
3,19427.9
3,268.17
3,1299.14
3,1420.99
3,8954.8
3,19063.91
3,35.65
3,13387.91
3,85.16
3,2513.3
3,1716.45
3,25876.67
3,11413.59
3,208.13
3,375.42
3,3481.76
3,1271.25
3,220.43
3,661.74
3,9428.32
3,2773.76
3,21.59
3,6589.47
3,10665.83
3,300.18
3,682.13
3,265.08
3,2279.27
4,15.04
4,24.25
4,25.82
4,97.11
4,17.64
4,12.59
4,15.5
4,15.37
4,67.43
4,34.34
4,21.46
4,16.35
4,34.46
4,14.52
4,21.72
4,39.27
4,18.08
4,18.96
4,20.59
4,19.31
4,184.95
4,34.99
4,12.17
4,31.59
4,17.28
4,31.46
4,18.12
4,125.7
4,20.81
4,20.13
4,11.65
4,9462.67
4,75.57
4,52.18
4,186.57
4,4138.86
4,19887.21
4,350.97
4,294.34
4,1026.33
4,14.22
4,30.64
4,241.64
4,35.49
4,19.22
4,29.71
4,1246.42
4,25.49
4,38.97
4,26.82
4,35.36
4,22.26
4,16.81
4,20.25
4,15.9
4,19.31
4,19.81
4,53.34
4,18.48
4,25.97
4,41.93
4,68.31
4,732.1
4,48.29
4,20.7
4,29.11
4,15.02
4,15.01
4,7247.85
4,18.51
4,20.81
4,28.14
4,300.1
4,285.54
4,33.85
4,146.29
4,52.61
4,361.39
4,19.47
4,265.57
4,81.78
4,132.64
4,22.73
4,44.78
4,689.56
4,120.59
4,115.07
4,108.26
4,2746.75
4,182.96
4,289.24
4,424.41
4,162.81
4,48.4
4,34.97
4,85.89
4,19.7
4,85.46
4,12875.66
4,10182.79
4,287.98
4,29.05
4,173.58
4,74.92
4,24.13
4,57.99
4,10088.02
4,7732.5
4,65.51
4,44.85
4,103.92
4,320.08
4,1071.38
4,12499.42
4,1206.21
4,20760.16
4,701.49
4,29.6
4,23138.58
