junctions,time_ms
2,7.67
2,4.57
2,7.22
2,5.83
2,7.95
2,5.25
2,6.39
2,5.11
2,10.12
2,9.59
2,5.24
2,8.63
2,6.38
2,8.55
2,13.27
2,9.57
2,8.68
2,4.73
2,7.98
2,8.81
2,15.15
2,7.23
2,7.21
2,6.33
2,16.85
2,17.67
2,23.8
2,14.96
2,7.77
2,8.07
2,6.15
2,5.64
2,6.03
2,7.67
2,6.07
2,10.68
2,13.0
2,13.96
2,9.72
2,5.79
2,9.4
2,6.79
2,6.1
2,15.69
2,7.83
2,16.05
2,17.24
2,13.19
2,10.22
2,28.86
2,505.15
2,8.84
2,22.12
2,6.61
2,17.93
2,11.54
2,17.19
2,8.94
2,21.55
2,18.15
2,8.44
2,13.94
2,10.83
2,9.25
2,6.68
2,8.14
2,26.62
2,13.06
2,15.99
2,12.76
2,365.1
2,16.69
2,7.78
2,17.94
2,7.26
2,11.43
2,10.21
2,8.02
2,11.06
2,44.45
2,8.12
2,18.02
2,6.03
2,23.08
2,5.74
2,10.57
2,8.14
2,8.47
2,9.33
2,10.91
2,11.71
2,13.14
2,10.35
2,31.84
2,13.87
2,23.96
2,7.26
2,11.01
2,12.06
2,44.77
2,22.24
2,33.45
2,28.98
2,41.05
2,861.51
2,30.78
2,18.2
2,31.2
2,7.15
2,20.64
2,14.71
2,13.2
2,10.51
2,48.25
2,13.65
2,19.32
2,41.41
2,27.02
2,21.52
2,87.32
2,18.98
2,29.28
2,92.92
2,12.19
2,8185.97
2,14946.04
2,23.57
2,276.06
2,29.98
2,13.23
2,10.95
2,16.49
2,22.65
2,53.08
2,12.47
2,18.87
2,11.86
2,6019.37
2,10.58
2,81.63
2,12.09
2,32.92
2,16.27
2,39.03
2,3457.66
3,9.02
3,10.86
3,12.79
3,9.85
3,24.41
3,7.75
3,12.75
3,12.31
3,13.35
3,8.94
3,11.35
3,7.97
3,10.33
3,12.24
3,7.74
3,10.84
3,18.2
3,8.89
3,12.94
3,22.7
3,9.04
3,11.12
3,12.56
3,14.23
3,10.05
3,8.19
3,481.69
3,37.79
3,17.79
3,521.77
3,11.97
3,37.46
3,33.56
3,806.07
3,82.75
3,12.11
3,183.52
3,2852.24
3,322.9
3,650.18
3,3761.86
3,10.68
3,930.04
3,112.04
3,18.04
3,13.86
3,54.84
3,11.75
3,23.17
3,1010.83
3,14.88
3,48.57
3,16.18
3,26.52
3,40.88
3,1690.98
3,118.35
3,149.33
3,35.19
3,20940.02
3,16.9
3,85.59
3,12.42
3,834.71
3,25.81
3,10.8
3,22.16
3,12.1
3,17.43
3,73.97
3,20.61
3,25.21
3,25.7
3,3918.48
3,23.27
3,42.45
3,9.41
3,23.14
3,52.26
3,30.49
3,32.71
3,124.85
3,261.56
3,74.42
3,21.67
3,112.28
3,23.78
3,69.74
3,121.64
3,62.23
3,40.04
3,366.68
3,23.53
3,44.2
3,25.26
3,19.28
3,50.53
3,927.15
3,12.08
3,358.97
3,125.89
3,18536.72
3,260.45
3,1217.29
3,1491.93
3,8788.73
3,18578.34
3,31.03
3,13204.82
3,102.8
3,2590.13
3,29077.92
3,1548.83
3,24715.57
3,10944.26
3,187.22
3,388.14
3,3304.16
3,1262.74
3,236.3
3,683.64
3,9414.02
3,2755.04
3,22.3
3,6565.6
3,10842.53
3,347.83
3,712.14
3,288.68
3,2300.58
4,26.07
4,22.23
4,29.44
4,81.87
4,17.21
4,12.24
4,15.03
4,16.26
4,61.16
4,34.65
4,15.64
4,17.52
4,41.42
4,15.78
4,25.38
4,29.59
4,18.57
4,16.3
4,13.72
4,22.19
4,176.9
4,37.12
4,14.13
4,31.34
4,18.26
4,37.63
4,18.33
4,125.48
4,20.85
4,15.49
4,13.68
4,10081.79
4,75.64
4,47.82
4,190.07
4,4132.69
4,20175.12
4,362.59
4,287.38
4,1022.67
4,18.32
4,47.68
4,247.04
4,36.33
4,19.62
4,29.74
4,1324.0
4,26.08
4,27.82
4,25.88
4,43.09
4,20.67
4,17.81
4,20.86
4,24.56
4,21.54
4,32.15
4,42.0
4,16.39
4,35.52
4,34.45
4,70.22
4,789.12
4,54.17
4,21.3
4,30.08
4,17.2
4,15.92
4,7424.03
4,17.83
4,20.79
4,25.08
4,307.92
4,272.13
4,29.91
4,125.8
4,43.22
4,365.3
4,26.98
4,274.18
4,94.42
4,129.84
4,22.53
4,48.81
4,640.76
4,134.7
4,109.28
4,132.07
4,2669.85
4,173.76
4,286.2
4,440.08
4,150.63
4,46.41
4,27.5
4,69.05
4,22.66
4,85.31
4,14156.58
4,11405.34
4,317.53
4,37.84
4,177.77
4,87.77
4,24.7
4,57.86
4,10160.15
4,7775.69
4,67.23
4,62.71
4,78.37
4,273.15
4,1139.85
4,12942.44
4,1254.89
4,21106.77
4,831.77
4,34.68
4,23173.5
