junctions,num_states
2,4.0
2,12.0
2,1.0
2,60.0
2,8.0
2,36.0
2,8.0
2,15.0
2,45.0
2,37.0
2,1.0
2,11.0
2,13.0
2,1.0
2,5.0
2,32.0
2,11.0
2,18.0
2,24.0
2,53.0
2,1.0
2,54.0
2,6.0
2,1.0
2,15.0
2,5.0
2,1.0
2,13.0
2,9.0
2,12.0
2,1.0
2,1.0
2,1.0
2,1.0
2,21.0
2,11.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,2.0
2,10.0
2,1.0
2,14.0
2,1.0
2,5.0
2,1.0
2,1.0
2,48.0
2,10.0
2,1.0
2,1.0
2,1.0
2,24.0
2,2.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,47.0
2,97.0
2,67.0
2,17.0
2,59.0
2,1.0
2,39.0
2,1.0
2,42.0
2,1.0
2,1.0
2,42.0
2,30.0
2,1.0
2,81.0
2,64.0
2,1.0
2,10.0
2,14.0
2,102.0
2,12.0
2,10.0
2,71.0
2,71.0
2,1.0
2,42.0
2,80.0
2,5.0
2,3.0
2,19.0
2,1.0
2,15.0
2,32.0
2,1.0
2,10.0
2,1.0
2,10.0
2,7.0
2,5.0
2,1.0
2,1.0
2,39.0
2,1.0
2,1.0
2,1.0
2,7.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,28.0
2,1.0
2,1.0
2,1.0
2,10.0
2,52.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,9.0
2,1.0
2,1.0
2,1.0
2,1.0
2,5.0
2,1.0
2,15.0
2,1.0
2,1.0
2,11.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
3,28.0
3,7.0
3,13.0
3,12.0
3,32.0
3,25.0
3,1.0
3,46.0
3,52.0
3,74.0
3,8.0
3,10.0
3,13.0
3,4.0
3,1.0
3,28.0
3,1.0
3,57.0
3,27.0
3,21.0
3,14.0
3,41.0
3,67.0
3,49.0
3,7.0
3,65.0
3,88.0
3,31.0
3,8.0
3,150.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,3.0
3,9.0
3,1.0
3,9.0
3,3.0
3,4.0
3,1.0
3,1.0
3,1.0
3,19.0
3,4.0
3,1.0
3,1.0
3,1.0
3,1.0
3,11.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,6.0
3,15.0
3,1.0
3,5.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,3.0
3,2.0
3,1.0
3,1.0
3,1.0
3,12.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,87.0
3,196.0
3,66.0
3,1.0
3,59.0
3,186.0
3,259.0
3,1.0
3,62.0
3,274.0
3,127.0
3,191.0
3,1.0
3,18.0
3,412.0
3,47.0
3,1.0
3,199.0
3,181.0
3,55.0
3,5.0
3,151.0
3,51.0
3,76.0
3,1.0
3,52.0
3,1.0
3,65.0
3,19.0
3,72.0
3,42.0
3,1.0
3,11.0
3,1.0
3,1.0
3,31.0
3,95.0
3,1.0
3,1.0
3,150.0
3,10.0
3,1.0
3,23.0
3,1.0
3,10.0
3,115.0
3,1.0
3,20.0
3,1.0
3,1.0
3,28.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,5.0
3,1.0
3,12.0
3,1.0
3,50.0
3,1.0
3,1.0
3,1.0
3,1.0
3,8.0
4,15.0
4,13.0
4,11.0
4,1.0
4,73.0
4,1.0
4,99.0
4,1.0
4,120.0
4,58.0
4,13.0
4,97.0
4,53.0
4,13.0
4,1.0
4,10.0
4,11.0
4,3.0
4,1.0
4,37.0
4,23.0
4,12.0
4,63.0
4,20.0
4,17.0
4,1.0
4,8.0
4,1.0
4,1.0
4,44.0
4,1.0
4,27.0
4,5.0
4,1.0
4,1.0
4,16.0
4,11.0
4,1.0
4,13.0
4,1.0
4,35.0
4,1.0
4,3.0
4,6.0
4,22.0
4,9.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,2.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,10.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,95.0
4,52.0
4,127.0
4,6.0
4,64.0
4,1.0
4,13.0
4,48.0
4,26.0
4,263.0
4,1294.0
4,334.0
4,113.0
4,76.0
4,266.0
4,460.0
4,10.0
4,14.0
4,62.0
4,13.0
4,1.0
4,98.0
4,852.0
4,64.0
4,9.0
4,1.0
4,1.0
4,95.0
4,9.0
4,12.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,7.0
4,1.0
4,1.0
4,1.0
4,14.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,1.0
4,4.0
4,1.0
4,1.0
