junctions,time_ms
2,7.11
2,5.38
2,5.8
2,9.94
2,5.09
2,6.8
2,6.39
2,9.18
2,8.24
2,8.1
2,5.88
2,5.2
2,6.84
2,5.54
2,6.08
2,5.71
2,5.66
2,5.04
2,8.85
2,17.19
2,4.64
2,11.45
2,5.75
2,5.65
2,6.9
2,4.65
2,6.99
2,7.82
2,8.3
2,8.39
2,16.79
2,11.17
2,49.65
2,11.2
2,8.01
2,11.11
2,9.07
2,22.84
2,11.05
2,6.76
2,60.35
2,10.31
2,8.67
2,9.6
2,11.34
2,6.93
2,17.34
2,6.18
2,9.14
2,119.16
2,16.81
2,27.84
2,8.16
2,12.34
2,17.23
2,13.01
2,11.76
2,15.31
2,10.63
2,15.58
2,9.79
2,22.53
2,11.16
2,21.27
2,7.94
2,17.1
2,13.16
2,24.35
2,7.94
2,12.76
2,410.63
2,12.68
2,165.95
2,5018.67
2,11.08
2,17.37
2,19.81
2,14.19
2,11.05
2,14.58
2,15.89
2,7.87
2,14.05
2,10.52
2,40.47
2,19.96
2,7.09
2,106.71
2,7.34
2,19.48
2,10.78
2,29.6
2,10.86
2,8.52
2,19.26
2,8.42
2,11.0
2,11.36
2,11.45
2,9.22
2,10.71
2,8.51
2,7.86
2,7.0
2,15.35
2,8.33
2,9.19
2,10.53
2,12.05
2,25.24
2,13.03
2,12.55
2,23.79
2,10.26
2,8.72
2,8.68
2,18.15
2,11.7
2,7.96
2,8.13
2,17.49
2,414.45
2,27.16
2,30.45
2,14.91
2,183.39
2,13.57
2,13.84
2,63.47
2,145.12
2,131.4
2,43.37
2,82.34
2,15.09
2,53.29
2,13.22
2,37.53
2,253.2
2,44.12
2,22.29
2,10.09
2,34.43
2,11.24
2,21.52
2,52.28
2,70.27
2,21.01
2,45.6
2,124.72
2,62.23
2,5855.72
2,14.92
2,19.65
2,11.15
2,246.68
2,57.18
2,12.21
2,459.96
2,66.32
2,12.58
2,161.34
2,536.15
2,2509.29
2,11.03
2,96.75
2,62.31
2,59.26
2,3744.03
2,26.6
2,8.63
2,4180.34
2,20.22
2,25.32
2,12.09
2,226.03
2,60.67
2,45.63
3,21.99
3,23.43
3,9.73
3,9.14
3,9.81
3,10.38
3,9.73
3,17.46
3,22.74
3,13.08
3,14.07
3,8.76
3,12.44
3,11.45
3,23.33
3,24.71
3,17.36
3,17.34
3,15.84
3,12.36
3,8.71
3,10.36
3,30.59
3,21.02
3,21.49
3,14.0
3,19.01
3,18.66
3,9.72
3,32.63
3,455.93
3,12.05
3,37.31
3,265.83
3,64.32
3,241.91
3,12.55
3,13.32
3,17.23
3,65.46
3,10.84
3,22.92
3,11.62
3,418.71
3,839.49
3,20.36
3,21.48
3,535.77
3,339.92
