junctions,num_states
1,13
1,13
1,5
1,15
1,8
1,11
1,8
1,14
1,6
1,13
1,13
1,15
1,8
1,9
1,12
1,5
1,6
1,13
1,8
1,12
1,9
1,16
1,6
1,3
1,13
1,15
1,8
1,7
1,16
1,3
1,13
1,16
1,13
1,12
1,9
1,8
1,6
1,1
1,12
1,9
1,14
1,13
1,8
1,2
1,10
1,10
1,2
1,14
1,6
1,12
1,10
1,5
1,11
1,11
1,11
1,5
1,8
1,14
1,15
1,6
1,7
1,11
1,15
1,18
1,11
1,11
1,11
1,11
1,13
1,13
1,10
1,12
1,10
1,17
1,10
1,4
1,4
1,12
1,1
1,13
1,17
1,12
1,11
1,12
1,11
1,18
1,18
1,5
1,8
1,9
1,12
1,11
1,5
1,12
1,13
1,16
1,11
1,9
1,9
1,6
2,86
2,55
2,51
2,17
2,30
2,1
2,18
2,9
2,37
2,10
2,82
2,90
2,24
2,88
2,56
2,58
2,1
2,50
2,39
2,9
2,38
2,90
2,23
2,84
2,80
2,44
2,102
2,62
2,45
2,15
2,68
2,87
2,100
2,63
2,78
2,60
2,27
2,34
2,69
2,4
2,60
2,1
2,72
2,68
2,39
2,95
2,8
2,41
2,95
2,60
2,17
2,14
2,29
2,28
2,6
2,56
2,29
2,90
2,94
2,1
2,54
2,69
2,9
2,53
2,4
2,137
2,87
2,75
2,105
2,96
2,9
2,12
2,91
2,40
2,3
2,1
2,15
2,1
2,16
2,80
2,56
2,15
2,44
2,28
2,47
2,70
2,46
2,77
2,14
2,7
2,11
2,61
2,37
2,70
2,4
2,9
2,79
2,13
2,65
2,43
3,1
3,78
3,133
3,43
3,98
3,13
3,30
3,9
3,160
3,17
3,173
3,10
3,52
3,59
3,69
3,40
3,11
3,1
3,38
3,229
3,40
3,1
3,63
3,130
3,10
3,103
3,5
3,60
3,207
3,367
3,45
3,21
3,6
3,8
3,10
3,1
3,87
3,6
3,214
3,84
3,1
3,242
3,67
3,122
3,59
3,29
3,73
3,185
3,12
3,33
3,99
3,252
3,94
3,44
3,6
3,1
3,97
3,40
3,177
3,448
3,73
3,103
3,1
3,23
3,29
3,74
3,281
3,15
3,234
3,22
3,15
3,134
3,6
3,21
3,52
3,285
3,7
3,69
3,1
3,9
3,1
3,319
3,341
3,226
3,16
3,254
3,29
3,1
3,36
3,99
3,16
3,74
3,52
3,61
3,42
3,72
3,17
3,198
3,240
3,8
4,325
4,1
4,144
4,19
4,12
4,122
4,16
4,114
4,134
4,214
4,89
4,1
4,105
4,15
4,15
4,376
4,48
4,28
4,743
4,1
4,10
4,267
4,18
4,93
4,89
4,168
4,31
4,159
4,16
4,7
4,85
4,1
4,1
4,128
4,271
4,74
4,159
4,116
4,9
4,112
4,293
4,1072
4,1
4,206
4,33
4,16
4,50
4,345
4,437
4,864
4,93
4,177
4,5
4,35
4,116
4,450
4,1
4,69
4,17
4,576
4,47
4,124
4,10
4,22
4,683
4,10
4,185
4,43
4,409
4,27
4,57
4,1236
4,236
4,274
4,7
4,26
4,45
4,10
4,14
4,97
4,105
4,56
4,215
4,1
4,18
4,9
4,22
4,12
4,16
4,191
4,732
4,48
4,636
4,878
4,68
4,1
4,1
4,195
4,704
4,88
5,401
5,83
5,12
5,960
5,15
5,2364
5,379
5,1104
5,376
5,71
5,371
5,1
5,20
5,65
5,1064
5,15
5,315
5,5
5,183
5,242
5,152
5,1
5,100
5,1962
5,65
5,956
5,9
5,8
5,257
5,85
5,13
5,18
5,14
5,177
5,1
5,175
5,15
5,90
5,83
5,1316
5,987
5,1
5,551
5,244
5,11
5,248
5,415
5,287
5,15
5,195
5,9
5,11
5,464
5,1001
5,16
5,309
5,101
5,56
5,1153
5,16
5,38
5,231
5,1103
5,11
5,10
5,1286
5,529
5,6
5,12
5,627
5,1
5,871
5,22
5,62
5,1
5,3105
5,690
5,22
5,236
5,5
5,120
5,24
5,25
5,66
5,19
5,106
5,142
5,71
5,83
5,105
5,7
5,402
5,63
5,403
5,12
5,301
5,25
5,749
5,3079
5,653
6,6
6,4
6,64
6,212
6,38
6,40
6,170
6,137
6,243
6,146
6,128
6,19
6,191
6,1
6,1
6,4
6,191
6,7
6,175
6,31
6,639
6,14
6,522
6,435
6,206
6,40
6,1645
6,209
6,14
6,3
6,64
6,40
6,17
6,16
6,1
6,1029
6,167
6,24
6,398
6,60
6,34
6,1407
6,62
6,4
6,843
6,4508
6,397
6,164
6,75
6,294
6,1
6,2142
6,65
6,136
6,81
6,87
6,166
6,1138
6,607
6,820
6,83
6,1603
6,1
6,11
6,46
6,2354
6,22
6,929
6,244
6,27
6,1348
6,756
6,118
6,206
6,202
6,80
6,721
6,356
6,744
6,483
6,419
6,86
6,89
6,1
6,343
6,72
6,232
6,426
6,39
6,1
6,116
6,71
6,56
6,1836
6,1
6,51
6,65
6,1
6,36
6,367
